Rk,Name,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank
47,Todd Gurley\GurlTo01,LAR,RB,22,16,16,0,0,0,0,0,278,885,3.18,6,58,43,327,7.60,0,155,205.2,176.7,18,20,47
48,Matt Forte\FortMa00,NYJ,RB,31,14,13,0,0,0,0,0,218,813,3.73,7,43,30,263,8.77,1,154,190.6,168.6,17,21,48
49,Zach Ertz\ErtzZa00,PHI,TE,26,14,12,0,0,0,0,0,0,0,,0,106,78,816,10.46,4,106,186.6,144.6,16,8,49
50,Jordan Reed*\ReedJo02,WAS,TE,26,12,8,0,0,0,0,0,0,0,,0,89,66,686,10.39,6,105,172.6,135.6,15,9,50
51,Terrelle Pryor\PryoTe00,CLE,WR,27,16,15,5,9,41,0,0,8,21,2.63,1,140,77,1007,13.08,4,138,216.4,174.9,14,15,51
52,Matthew Stafford\StafMa00,DET,QB,28,16,16,388,594,4327,24,10,37,207,5.59,2,1,0,0,,0,282,297.8,289.8,14,7,52
53,Tyreek Hill*+\HillTy00,KAN,WR,22,16,1,0,0,0,0,0,24,267,11.13,3,83,61,593,9.72,6,138,224.0,186.5,14,16,53
54,Jarvis Landry*\LandJa00,MIA,WR,24,16,16,0,1,0,0,0,5,17,3.40,0,131,94,1136,12.09,4,137,236.3,184.3,13,17,54
55,Larry Fitzgerald*\FitzLa00,ARI,WR,33,16,16,0,1,0,0,0,2,5,2.50,0,150,107,1023,9.56,6,137,247.8,190.3,12,18,55
56,Demaryius Thomas*\ThomDe03,DEN,WR,29,16,16,0,0,0,0,0,0,0,,0,144,90,1083,12.03,5,136,231.3,181.3,12,19,56
57,Kelvin Benjamin\BenjKe00,CAR,WR,25,16,13,0,0,0,0,0,0,0,,0,118,63,941,14.94,7,134,201.1,165.6,10,20,57
58,Dez Bryant*\BryaDe01,DAL,WR,28,13,13,1,1,10,1,0,0,0,,0,96,50,796,15.92,8,134,184.0,155.0,10,21,58
59,Emmanuel Sanders*\SandEm00,DEN,WR,29,16,16,0,0,0,0,0,1,4,4.00,0,137,79,1032,13.06,5,134,215.6,173.1,9,22,59
60,Julian Edelman\EdelJu00,NWE,WR,30,16,13,0,0,0,0,0,12,57,4.75,0,159,98,1106,11.29,3,132,235.3,181.3,8,23,60
61,Golden Tate\TateGo00,DET,WR,28,16,16,0,0,0,0,0,10,4,0.40,0,135,91,1077,11.84,4,132,227.1,177.6,8,24,61
62,Hunter Henry\HenrHu00,SDG,TE,22,15,10,0,0,0,0,0,0,0,,0,53,36,478,13.28,8,96,133.8,111.8,7,10,62
63,Mike Wallace\WallMi00,BAL,WR,30,16,16,0,0,0,0,0,5,31,6.20,0,116,72,1017,14.13,4,131,205.8,166.8,6,25,63
64,Antonio Gates\GateAn00,SDG,TE,36,14,9,0,0,0,0,0,0,0,,0,93,53,548,10.34,7,95,151.8,121.3,6,11,64
65,Kenny Britt\BritKe00,LAR,WR,28,15,15,0,0,0,0,0,0,0,,0,111,68,1002,14.74,5,128,200.2,162.2,4,26,65
66,Tyrod Taylor\TaylTy00,BUF,QB,27,15,15,269,436,3023,17,6,95,580,6.11,6,0,0,0,,0,271,284.9,276.9,3,8,66
67,Derek Carr*\CarrDe02,OAK,QB,25,15,15,357,560,3937,28,6,39,70,1.79,0,0,0,0,,0,270,280.5,274.5,3,9,67
68,Blake Bortles\BortBl00,JAX,QB,24,16,16,368,625,3905,23,16,58,359,6.19,3,1,1,20,20.00,1,270,299.1,286.6,2,10,68
69,Russell Wilson\WilsRu00,SEA,QB,28,16,16,353,546,4219,21,11,72,259,3.60,1,2,2,14,7.00,1,270,289.1,280.1,2,11,69
70,Kenny Stills\StilKe00,MIA,WR,24,16,16,0,0,0,0,0,0,0,,0,81,42,726,17.29,9,127,171.6,147.6,2,27,70
71,Bilal Powell\PoweBi00,NYJ,RB,28,16,4,0,0,0,0,0,131,722,5.51,3,74,58,388,6.69,2,139,204.0,168.0,2,22,71
72,Allen Robinson\RobiAl02,JAX,WR,23,16,16,0,0,0,0,0,0,0,,0,151,73,883,12.10,6,126,202.3,162.8,2,28,72
73,Adam Thielen\ThieAd00,MIN,WR,26,16,10,0,0,0,0,0,2,15,7.50,0,92,69,967,14.01,5,126,199.2,160.7,2,29,73
74,Jonathan Stewart\StewJo00,CAR,RB,29,13,13,0,0,0,0,0,218,824,3.78,9,21,8,60,7.50,0,138,151.4,142.4,1,23,74
75,Julian Howsare\HowsJu00,NYJ,,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,2,75
76,Glenn Gronkowski\GronGl01,BUF,,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,1,76
77,Terrance West\WestTe00,BAL,RB,25,16,13,0,0,0,0,0,193,774,4.01,5,45,34,236,6.94,1,137,177.0,154.0,,24,77
78,Michael Burton\BurtMi00,DET,,24,15,0,0,0,0,0,0,0,0,,0,1,0,0,,0,,,,,3,78
79,Marcus Mariota\MariMa01,TEN,QB,23,15,15,276,451,3426,26,9,60,349,5.82,2,1,0,0,,0,268,279.9,268.9,,12,
80,Ben Roethlisberger*\RoetBe00,PIT,QB,34,14,14,328,509,3819,29,13,16,14,0.88,1,0,0,0,,0,266,270.2,265.2,,13,
81,Philip Rivers*\RivePh00,SDG,QB,35,16,16,349,578,4386,33,21,14,35,2.50,0,0,0,0,,0,263,287.9,279.9,,14,
82,Jameis Winston\WinsJa00,TAM,QB,22,16,16,345,567,4090,28,18,53,165,3.11,1,0,0,0,,0,262,286.1,274.1,,15,
83,Tom Brady*\BradTo00,NWE,QB,39,12,12,291,432,3554,28,2,28,64,2.29,0,0,0,0,,0,261,263.6,260.6,,17,
84,Andy Dalton*\DaltAn00,CIN,QB,29,16,16,364,563,4206,18,8,46,184,4.00,4,0,0,0,,0,261,277.6,268.6,,16,
85,Cam Newton\NewtCa00,CAR,QB,27,15,14,270,510,3509,19,14,90,359,3.99,5,0,0,0,,0,260,276.3,268.3,,18,
86,Carson Palmer\PalmCa00,ARI,QB,37,15,15,364,597,4233,26,14,14,38,2.71,0,0,0,0,,0,249,264.1,257.1,,19,
87,Joe Flacco\FlacJo00,BAL,QB,31,16,16,436,672,4317,20,15,21,58,2.76,2,0,0,0,,0,244,263.5,257.5,,20,
88,Eli Manning\MannEl00,NYG,QB,35,16,16,377,598,4027,26,16,21,-9,-0.43,0,0,0,0,,0,226,247.2,240.2,,21,
89,Alex Smith*\SmitAl03,KAN,QB,32,15,15,328,489,3502,15,8,48,134,2.79,5,1,1,3,3.00,0,226,242.8,232.3,,22,
90,Sam Bradford\BradSa00,MIN,QB,29,15,15,395,552,3877,20,5,20,53,2.65,0,1,1,5,5.00,0,223,234.9,226.4,,23,
91,Carson Wentz\WentCa00,PHI,QB,24,16,16,379,607,3782,16,14,46,150,3.26,2,1,1,7,7.00,0,217,237.0,227.5,,24,
92,Colin Kaepernick\KaepCo00,SFO,QB,29,12,11,196,331,2241,16,4,69,468,6.78,2,0,0,0,,0,200,213.4,204.4,,25,
93,Trevor Siemian\SiemTr00,DEN,QB,25,14,14,289,486,3401,18,10,28,57,2.04,0,0,0,0,,0,194,206.7,201.7,,26,
94,Ryan Tannehill\TannRy00,MIA,QB,28,13,13,261,389,2995,19,12,39,164,4.21,1,0,0,0,,0,192,211.2,202.2,,27,
95,Brock Osweiler\OsweBr00,HOU,QB,26,15,14,301,510,2957,15,16,30,131,4.37,2,1,1,-14,-14.00,0,168,192.0,184.5,,28,
96,Ryan Fitzpatrick\FitzRy00,NYJ,QB,34,14,11,228,403,2710,12,17,33,130,3.94,0,0,0,0,,0,133,157.4,150.4,,29,
97,Ryan Mathews\MathRy00,PHI,RB,29,13,8,0,0,0,0,0,155,661,4.26,8,14,13,115,8.85,1,132,152.6,138.1,,25,
98,DeSean Jackson\JackDe00,WAS,WR,30,15,15,0,0,0,0,0,0,0,,0,100,56,1005,17.95,4,125,183.5,152.5,,30,
99,Jamison Crowder\CrowJa00,WAS,WR,23,16,9,0,0,0,0,0,2,-2,-1.00,0,99,67,847,12.64,7,125,201.5,164.0,,31,
100,Pierre Garcon\GarcPi00,WAS,WR,30,16,16,0,0,0,0,0,0,0,,0,114,79,1041,13.18,3,122,204.1,161.6,,32,
101,Brandon LaFell\LaFeBr00,CIN,WR,30,16,14,0,0,0,0,0,1,-2,-2.00,0,107,64,862,13.47,6,122,189.0,154.0,,33,
102,Robert Kelley\KellRo00,WAS,RB,24,15,9,0,0,0,0,0,168,704,4.19,6,18,12,82,6.83,1,121,135.6,126.6,,26,
103,A.J. Green*\GreeA.00,CIN,WR,28,10,10,0,0,0,0,0,0,0,,0,100,66,964,14.61,4,120,189.4,153.4,,34,
104,Willie Snead\SneaWi00,NOR,WR,24,15,4,1,1,50,1,0,0,0,,0,104,72,895,12.43,4,120,194.5,155.5,,35,
105,DeAndre Hopkins\HopkDe00,HOU,WR,24,16,16,0,0,0,0,0,0,0,,0,151,78,954,12.23,4,119,200.4,158.4,,37,
106,Sterling Shepard\ShepSt00,NYG,WR,22,16,16,0,0,0,0,0,3,31,10.33,0,105,65,683,10.51,8,119,187.4,151.9,,36,
107,Marvin Jones\JoneMa02,DET,WR,26,15,15,0,0,0,0,0,1,3,3.00,0,103,55,930,16.91,4,117,175.3,144.8,,38,
108,Christine Michael\MichCh00,2TM,RB,26,15,7,0,0,0,0,0,148,583,3.94,7,29,22,107,4.86,1,117,144.0,126.0,,27,
109,Mike Gillislee\GillMi00,BUF,RB,26,15,1,0,0,0,0,0,101,577,5.71,8,11,9,50,5.56,1,117,128.7,121.2,,28,
110,Steve Smith\SmitSt01,BAL,WR,37,14,14,0,0,0,0,0,0,0,,0,101,70,799,11.41,5,116,186.9,148.9,,39,
111,Cole Beasley\BeasCo00,DAL,WR,27,16,6,0,1,0,0,0,1,7,7.00,0,98,75,833,11.11,5,114,192.0,151.5,,40,
112,Case Keenum\KeenCa00,LAR,QB,28,10,9,196,322,2201,9,11,20,51,2.55,1,0,0,0,,0,113,126.1,122.1,,30,
113,Cameron Meredith\MereCa00,CHI,WR,24,14,10,1,1,2,1,0,1,6,6.00,0,97,66,888,13.45,4,113,184.5,146.5,,41,
114,Devontae Booker\BookDe00,DEN,RB,23,16,6,0,0,0,0,0,174,612,3.52,4,45,31,265,8.55,1,112,151.7,127.2,,29,
115,Darren Sproles*\SproDa00,PHI,RB,33,15,5,0,0,0,0,0,94,438,4.66,2,71,52,427,8.21,2,111,168.5,136.5,,30,
116,Quincy Enunwa\EnunQu00,NYJ,WR,24,16,13,0,0,0,0,0,1,12,12.00,0,105,58,857,14.78,4,111,171.9,139.9,,42,
117,Theo Riddick\RiddTh00,DET,RB,25,10,8,0,0,0,0,0,92,357,3.88,1,67,53,371,7.00,5,109,167.8,135.3,,31,
118,Marqise Lee\LeexMa00,JAX,WR,25,16,6,1,1,20,1,0,6,35,5.83,0,105,63,851,13.51,3,109,182.4,146.9,,43,
119,Stefon Diggs\DiggSt00,MIN,WR,23,13,11,0,0,0,0,0,3,10,3.33,0,112,84,903,10.75,3,109,196.3,151.3,,44,
120,Tim Hightower\HighTi00,NOR,RB,30,16,1,0,0,0,0,0,133,548,4.12,4,26,22,200,9.09,1,107,132.8,115.8,,33,
121,Jerick McKinnon\McKiJe00,MIN,RB,24,15,7,0,1,0,0,0,159,539,3.39,2,53,43,255,5.93,2,107,154.4,126.9,,32,
122,JJ Nelson\NelsJJ00,ARI,WR,24,15,6,0,0,0,0,0,4,83,20.75,1,74,34,568,16.71,6,107,143.1,122.1,,45,
123,Anquan Boldin\BoldAn00,DET,WR,36,16,16,0,0,0,0,0,0,0,,0,95,67,584,8.72,8,106,176.4,139.9,,46,
124,Ted Ginn\GinnTe00,CAR,WR,31,16,8,0,0,0,0,0,14,98,7.00,0,95,54,752,13.93,4,105,164.0,132.0,,48,
125,Dontrelle Inman\InmaDo00,SDG,WR,27,16,16,0,0,0,0,0,0,0,,0,97,58,810,13.97,4,105,166.0,134.0,,47,
126,Taylor Gabriel\GabrTa00,ATL,WR,25,13,3,0,0,0,0,0,4,51,12.75,1,50,35,579,16.54,6,105,143.0,122.5,,49,
127,James White\WhitJa02,NWE,RB,24,16,4,0,0,0,0,0,39,166,4.26,0,86,60,551,9.18,5,104,167.7,131.7,,34,
128,Rashad Jennings\JennRa00,NYG,RB,31,13,12,0,0,0,0,0,181,593,3.28,3,42,35,201,5.74,1,103,144.4,120.9,,35,
129,Jordan Matthews\MattJo00,PHI,WR,24,14,13,0,0,0,0,0,0,0,,0,117,73,804,11.01,3,102,174.4,134.9,,50,
130,DeVante Parker\ParkDe01,MIA,WR,23,15,8,0,0,0,0,0,0,0,,0,87,56,744,13.29,4,102,157.4,126.4,,51,
131,Matt Asiata\AsiaMa00,MIN,RB,29,16,6,0,0,0,0,0,121,402,3.32,6,38,32,263,8.22,0,101,139.5,116.5,,37,
132,Chris Thompson\ThomCh03,WAS,RB,26,16,0,0,0,0,0,0,68,356,5.24,3,62,49,349,7.12,2,101,154.5,123.0,,36,
133,Brandon Marshall\MarsBr00,NYJ,WR,32,15,15,0,0,0,0,0,0,0,,0,128,59,788,13.36,3,97,158.8,126.3,,52,
134,Ty Montgomery\MontTy01,GNB,RB,23,15,6,0,0,0,0,0,77,457,5.94,3,56,44,348,7.91,0,97,147.5,118.5,,38,
135,Alshon Jeffery\JeffAl00,CHI,WR,26,12,12,0,0,0,0,0,0,0,,0,94,52,821,15.79,2,94,149.1,120.1,,53,
136,Derrick Henry\HenrDe00,TEN,RB,22,15,1,0,0,0,0,0,110,490,4.45,5,15,13,137,10.54,0,93,111.7,99.2,,39,
137,Chris Hogan\HogaCh00,NWE,WR,28,15,14,0,0,0,0,0,3,9,3.00,0,58,38,680,17.89,4,91,132.9,109.9,,54,
138,Duke Johnson\JohnDu00,CLE,RB,23,16,1,0,1,0,0,0,73,358,4.90,1,74,53,514,9.70,0,91,151.2,117.7,,40,
139,Mohamed Sanu\SanuMo00,ATL,WR,27,15,15,0,0,0,0,0,1,5,5.00,0,81,59,653,11.07,4,90,152.8,119.3,,55,
140,Coby Fleener\FleeCo00,NOR,TE,28,16,8,0,0,0,0,0,1,2,2.00,1,81,50,631,12.62,3,89,140.3,112.3,,12,
141,Tavon Austin\AustTa00,LAR,WR,25,15,15,0,0,0,0,0,28,159,5.68,1,106,58,509,8.78,3,89,153.8,117.8,,56,
142,Randall Cobb\CobbRa00,GNB,WR,26,13,10,0,0,0,0,0,10,33,3.30,0,84,60,610,10.17,4,88,151.3,118.3,,57,
143,T.J. Yeldon\YeldT.00,JAX,RB,23,15,13,0,0,0,0,0,130,465,3.58,1,68,50,312,6.24,1,88,144.7,112.7,,41,
144,C.J. Anderson\AndeC.00,DEN,RB,25,7,7,0,0,0,0,0,110,437,3.97,4,24,16,128,8.00,1,87,108.5,94.5,,43,
145,Jalen Richard\RichJa01,OAK,RB,23,16,0,0,0,0,0,0,83,491,5.92,1,39,29,194,6.69,2,87,121.5,101.0,,42,
146,Jack Doyle\DoylJa00,IND,TE,26,16,14,0,0,0,0,0,0,0,,0,75,59,584,9.90,5,86,149.4,115.9,,13,
147,Travis Benjamin\BenjTr00,SDG,WR,27,14,8,0,1,0,0,0,2,-3,-1.50,0,75,47,677,14.40,4,85,138.4,108.9,,58,
148,DeAngelo Williams\WillDe02,PIT,RB,33,9,4,0,0,0,0,0,98,343,3.50,4,27,18,118,6.56,2,84,106.1,91.1,,44,
149,Dennis Pitta\PittDe00,BAL,TE,31,16,12,0,0,0,0,0,0,0,,0,121,86,729,8.48,2,83,172.9,125.9,,16,
150,Jason Witten\WittJa00,DAL,TE,34,16,16,0,0,0,0,0,0,0,,0,95,69,673,9.75,3,83,156.3,117.8,,14,
151,Jeremy Kerley\KerlJe00,SFO,WR,28,16,13,0,0,0,0,0,0,0,,0,115,64,667,10.42,3,83,150.7,114.7,,60,
152,Giovani Bernard\BernGi00,CIN,RB,25,10,2,0,0,0,0,0,91,337,3.70,2,51,39,336,8.62,1,83,129.3,102.8,,45,
153,Eric Ebron\EbroEr00,DET,TE,23,13,13,0,0,0,0,0,1,1,1.00,1,85,61,711,11.66,1,83,147.2,113.7,,15,
154,Tyler Lockett\LockTy00,SEA,WR,24,15,9,0,0,0,0,0,6,114,19.00,1,66,41,597,14.56,1,83,130.1,103.6,,59,
155,Robert Turbin\TurbRo00,IND,RB,27,15,0,0,0,0,0,0,47,164,3.49,7,35,26,179,6.88,1,82,114.3,95.3,,46,
156,Michael Floyd\FloyMi00,2TM,WR,27,15,8,0,0,0,0,0,0,0,,0,76,37,488,13.19,5,81,118.8,97.3,,62,
157,Terrance Williams\WillTe01,DAL,WR,27,16,15,0,0,0,0,0,0,0,,0,61,44,594,13.50,4,81,129.4,103.4,,61,
158,Brian Hoyer\HoyeBr00,CHI,QB,31,6,5,134,200,1445,6,0,7,-2,-0.29,0,0,0,0,,0,80,83.6,79.6,,31,
159,Shaun Draughn\DrauSh00,SFO,RB,29,16,1,0,0,0,0,0,74,196,2.65,4,39,29,263,9.07,2,80,115.9,94.4,,47,
160,C.J. Fiedorowicz\FiedC.00,HOU,TE,25,15,15,0,0,0,0,0,0,0,,0,89,54,559,10.35,4,80,136.9,106.9,,17,
161,Charles Clay\ClayCh00,BUF,TE,27,15,15,0,0,0,0,0,0,0,,0,87,57,552,9.68,4,79,139.2,107.7,,18,
162,Dwayne Allen\AlleDw00,IND,TE,26,14,14,0,0,0,0,0,0,0,,0,52,35,406,11.60,6,79,116.6,96.1,,19,
163,Cody Kessler\KessCo00,CLE,QB,23,9,8,128,195,1380,6,2,11,18,1.64,0,0,0,0,,0,79,83.0,79.0,,32,
164,Jacquizz Rodgers\RodgJa00,TAM,RB,26,10,5,0,0,0,0,0,129,560,4.34,2,16,13,98,7.54,0,78,93.8,84.3,,48,
165,Eli Rogers\RogeEl00,PIT,WR,,13,8,0,0,0,0,0,1,6,6.00,0,66,48,594,12.38,3,78,129.0,102.0,,64,
166,Adam Humphries\HumpAd00,TAM,WR,23,15,4,0,0,0,0,0,5,18,3.60,0,83,55,622,11.31,2,78,136.0,105.5,,63,
167,Gary Barnidge\BarnGa01,CLE,TE,31,16,16,0,0,0,0,0,0,0,,0,82,55,612,11.13,2,75,133.2,102.7,,20,
168,Chris Ivory\IvorCh00,JAX,RB,28,11,1,0,0,0,0,0,117,439,3.75,3,28,20,186,9.30,0,75,103.5,84.5,,50,
169,Zach Zenner\ZennZa00,DET,RB,25,14,4,0,0,0,0,0,88,334,3.80,4,23,18,196,10.89,0,75,100.0,84.0,,49,
170,Will Fuller\FullWi01,HOU,WR,22,14,13,0,0,0,0,0,1,-3,-3.00,0,92,47,635,13.51,2,75,131.2,104.7,,65,
171,Brian Quick\QuicBr00,LAR,WR,27,16,8,0,0,0,0,0,0,0,,0,77,41,564,13.76,3,74,118.4,94.9,,66,
172,Seth Roberts\RobeSe00,OAK,WR,25,16,6,0,0,0,0,0,0,0,,0,77,38,397,10.45,5,74,114.7,92.7,,67,
173,Zach Miller\MillZa02,CHI,TE,32,10,8,0,0,0,0,0,0,0,,0,64,47,486,10.34,4,73,122.6,96.1,,21,
174,Blaine Gabbert\GabbBl00,SFO,QB,27,6,5,91,160,925,5,6,40,173,4.33,2,1,1,-16,-16.00,0,73,85.7,79.2,,33,
175,Robby Anderson\AndeRo04,NYJ,WR,23,16,8,0,0,0,0,0,3,42,14.00,0,78,42,587,13.98,2,73,118.9,93.9,,68,
176,Donte Moncrief\MoncDo00,IND,WR,23,9,7,0,0,0,0,0,1,-1,-1.00,0,56,30,307,10.23,7,73,105.6,87.6,,69,
177,Rob Gronkowski\GronRo00,NWE,TE,27,8,6,0,0,0,0,0,0,0,,0,38,25,540,21.60,3,72,100.0,84.5,,22,
178,Doug Martin\MartDo00,TAM,RB,27,8,8,0,0,0,0,0,144,421,2.92,3,16,14,134,9.57,0,72,92.5,78.5,,52,
179,Kenneth Dixon\DixoKe00,BAL,RB,22,12,0,0,0,0,0,0,88,382,4.34,2,41,30,162,5.40,1,72,108.4,87.4,,51,
180,Matt Barkley\BarkMa00,CHI,QB,26,7,6,129,216,1611,8,14,7,2,0.29,0,1,1,2,2.00,1,71,90.8,85.3,,34,
